"event","source","source_id","annotator","annotation_id","annotation_date","annotation_info_url","recording_url","recording_info_url","time_start","time_end","freq_low","freq_high","species","type","lat","lon","alt","effort","contact","additional","taxon","matchId"
"PamGuard64 2_00_16e Drift-10_Final.OE1","figshare.com",22959786,"Anne Simonis, Jenny Trickey","PamGuard64 2_00_16e Drift-10_Final.OE1",2019,"https://figshare.com/articles/dataset/BWEventClips_CCES2018/22959786","https://ndownloader.figshare.com/files/40698871","https://figshare.com/articles/online_resource/CCES_2018_Final_Acoustic_Report/19358036",5,9.143,NA,NA,TRUE,"echolocation click event",36.7249971941587,-125.041561881549,NA,NA,"shannon.rankin@noaa.gov",NA,"Ziphius cavirostris","PamGuard64 2_00_16e Drift-10_Final.OE1"
"PamGuard64 2_00_16e Drift-10_Final.OE2","figshare.com",22959786,"Anne Simonis, Jenny Trickey","PamGuard64 2_00_16e Drift-10_Final.OE2",2019,"https://figshare.com/articles/dataset/BWEventClips_CCES2018/22959786","https://ndownloader.figshare.com/files/40699411","https://figshare.com/articles/online_resource/CCES_2018_Final_Acoustic_Report/19358036",5,96.282,NA,NA,TRUE,"echolocation click event",36.5779426556998,-125.012730720913,NA,NA,"shannon.rankin@noaa.gov",NA,"Ziphius cavirostris","PamGuard64 2_00_16e Drift-10_Final.OE2"
"PamGuard64 2_00_16e Drift-10_Final.OE3","figshare.com",22959786,"Anne Simonis, Jenny Trickey","PamGuard64 2_00_16e Drift-10_Final.OE3",2019,"https://figshare.com/articles/dataset/BWEventClips_CCES2018/22959786","https://ndownloader.figshare.com/files/40700304","https://figshare.com/articles/online_resource/CCES_2018_Final_Acoustic_Report/19358036",5,10.776,NA,NA,TRUE,"echolocation click event",36.5517575718803,-125.014036507066,NA,NA,"shannon.rankin@noaa.gov",NA,"Ziphius cavirostris","PamGuard64 2_00_16e Drift-10_Final.OE3"
"PamGuard64 2_00_16e Drift-10_Final.OE4","figshare.com",22959786,"Anne Simonis, Jenny Trickey","PamGuard64 2_00_16e Drift-10_Final.OE4",2019,"https://figshare.com/articles/dataset/BWEventClips_CCES2018/22959786","https://ndownloader.figshare.com/files/40698651","https://figshare.com/articles/online_resource/CCES_2018_Final_Acoustic_Report/19358036",5,47.161,NA,NA,TRUE,"echolocation click event",36.539780804642,-125.006324053542,NA,NA,"shannon.rankin@noaa.gov",NA,"Ziphius cavirostris","PamGuard64 2_00_16e Drift-10_Final.OE4"
"PamGuard64 2_00_16e Drift-10_Final.OE5","figshare.com",22959786,"Anne Simonis, Jenny Trickey","PamGuard64 2_00_16e Drift-10_Final.OE5",2019,"https://figshare.com/articles/dataset/BWEventClips_CCES2018/22959786","https://ndownloader.figshare.com/files/40698399","https://figshare.com/articles/online_resource/CCES_2018_Final_Acoustic_Report/19358036",5,63.188,NA,NA,TRUE,"echolocation click event",36.4823588695384,-124.996503200615,NA,NA,"shannon.rankin@noaa.gov",NA,"Ziphius cavirostris","PamGuard64 2_00_16e Drift-10_Final.OE5"
"PamGuard64 2_00_16e Drift-10_Final.OE6","figshare.com",22959786,"Anne Simonis, Jenny Trickey","PamGuard64 2_00_16e Drift-10_Final.OE6",2019,"https://figshare.com/articles/dataset/BWEventClips_CCES2018/22959786","https://ndownloader.figshare.com/files/40700530","https://figshare.com/articles/online_resource/CCES_2018_Final_Acoustic_Report/19358036",5,16.525,NA,NA,TRUE,"echolocation click event",36.4743048615112,-124.996454751093,NA,NA,"shannon.rankin@noaa.gov",NA,"Ziphius cavirostris","PamGuard64 2_00_16e Drift-10_Final.OE6"
"PamGuard64 2_00_16e Drift-10_Final.OE8","figshare.com",22959786,"Anne Simonis, Jenny Trickey","PamGuard64 2_00_16e Drift-10_Final.OE8",2019,"https://figshare.com/articles/dataset/BWEventClips_CCES2018/22959786","https://ndownloader.figshare.com/files/40698468","https://figshare.com/articles/online_resource/CCES_2018_Final_Acoustic_Report/19358036",5,6.23,NA,NA,TRUE,"echolocation click event",36.4149897869057,-124.950426837945,NA,NA,"shannon.rankin@noaa.gov",NA,"Ziphius cavirostris","PamGuard64 2_00_16e Drift-10_Final.OE8"
"PamGuard64 2_00_16e Drift-10_Final.OE10","figshare.com",22959786,"Anne Simonis, Jenny Trickey","PamGuard64 2_00_16e Drift-10_Final.OE10",2019,"https://figshare.com/articles/dataset/BWEventClips_CCES2018/22959786","https://ndownloader.figshare.com/files/40698757","https://figshare.com/articles/online_resource/CCES_2018_Final_Acoustic_Report/19358036",5,49.732,NA,NA,TRUE,"echolocation click event",36.3882555257963,-124.92010690815,NA,NA,"shannon.rankin@noaa.gov",NA,"Ziphius cavirostris","PamGuard64 2_00_16e Drift-10_Final.OE10"
"PamGuard64 2_00_16e Drift-10_Final.OE11","figshare.com",22959786,"Anne Simonis, Jenny Trickey","PamGuard64 2_00_16e Drift-10_Final.OE11",2019,"https://figshare.com/articles/dataset/BWEventClips_CCES2018/22959786","https://ndownloader.figshare.com/files/40699969","https://figshare.com/articles/online_resource/CCES_2018_Final_Acoustic_Report/19358036",3.456,82.601,NA,NA,TRUE,"echolocation click event",36.3634419242874,-124.906942692266,NA,NA,"shannon.rankin@noaa.gov",NA,"Ziphius cavirostris","PamGuard64 2_00_16e Drift-10_Final.OE11"
"PamGuard64 2_00_16e Drift-10_Final.OE12","figshare.com",22959786,"Anne Simonis, Jenny Trickey","PamGuard64 2_00_16e Drift-10_Final.OE12",2019,"https://figshare.com/articles/dataset/BWEventClips_CCES2018/22959786","https://ndownloader.figshare.com/files/40700338","https://figshare.com/articles/online_resource/CCES_2018_Final_Acoustic_Report/19358036",0.347,119.611,NA,NA,TRUE,"echolocation click event",36.3599097154345,-124.907064492571,NA,NA,"shannon.rankin@noaa.gov",NA,"Ziphius cavirostris","PamGuard64 2_00_16e Drift-10_Final.OE12"
