"","dateTime","spotID","readingType","lat","long","NA","NA"
"8753","9/15/2016 21:18","0-2573727","UNLIMITED-TRACK",39.1791,-129.75836,NA,""
"8760","9/15/2016 21:08","0-2572479","UNLIMITED-TRACK",39.17886,-129.75766,NA,""
"8776","9/15/2016 20:47","0-2573727","UNLIMITED-TRACK",39.17841,-129.75636,NA,""
"8786","9/15/2016 20:36","0-2572479","UNLIMITED-TRACK",39.17818,-129.75568,NA,""
"8800","9/15/2016 20:18","0-2573727","UNLIMITED-TRACK",39.17778,-129.75476,NA,""
"8807","9/15/2016 20:10","0-2572479","UNLIMITED-TRACK",39.17752,-129.75436,NA,""
"8824","9/15/2016 19:48","0-2573727","UNLIMITED-TRACK",39.17701,-129.75349,NA,""
"8831","9/15/2016 19:40","0-2572479","UNLIMITED-TRACK",39.17691,-129.75319,NA,""
"8848","9/15/2016 19:18","0-2573727","UNLIMITED-TRACK",39.17646,-129.75244,NA,""
"8858","9/15/2016 19:08","0-2572479","UNLIMITED-TRACK",39.17628,-129.75197,NA,""
"8874","9/15/2016 18:48","0-2573727","UNLIMITED-TRACK",39.17611,-129.75122,NA,""
"8884","9/15/2016 18:36","0-2572479","UNLIMITED-TRACK",39.17602,-129.75092,NA,""
"8899","9/15/2016 18:19","0-2573727","UNLIMITED-TRACK",39.17616,-129.75023,NA,""
"8906","9/15/2016 18:09","0-2572479","UNLIMITED-TRACK",39.1763,-129.74976,NA,""
"8926","9/15/2016 17:48","0-2573727","UNLIMITED-TRACK",39.17672,-129.74899,NA,""
"8935","9/15/2016 17:37","0-2572479","UNLIMITED-TRACK",39.1769,-129.74852,NA,""
"8951","9/15/2016 17:19","0-2573727","UNLIMITED-TRACK",39.17725,-129.74785,NA,""
"8961","9/15/2016 17:08","0-2572479","UNLIMITED-TRACK",39.17745,-129.74742,NA,""
"8976","9/15/2016 16:50","0-2573727","UNLIMITED-TRACK",39.17804,-129.74684,NA,""
"8987","9/15/2016 16:39","0-2572479","UNLIMITED-TRACK",39.17838,-129.74654,NA,""
"9001","9/15/2016 16:20","0-2573727","UNLIMITED-TRACK",39.17902,-129.74625,NA,""
"9013","9/15/2016 16:07","0-2572479","UNLIMITED-TRACK",39.1795,-129.74606,NA,""
"9028","9/15/2016 15:49","0-2573727","UNLIMITED-TRACK",39.18024,-129.74606,NA,""
"9039","9/15/2016 15:38","0-2572479","UNLIMITED-TRACK",39.18072,-129.74606,NA,""
"9052","9/15/2016 15:20","0-2573727","UNLIMITED-TRACK",39.18158,-129.74625,NA,""
"9062","9/15/2016 15:10","0-2572479","UNLIMITED-TRACK",39.18202,-129.74638,NA,""
"9078","9/15/2016 14:50","0-2573727","UNLIMITED-TRACK",39.18317,-129.7466,NA,""
"9089","9/15/2016 14:38","0-2572479","UNLIMITED-TRACK",39.18385,-129.7468,NA,""
"9103","9/15/2016 14:20","0-2573727","UNLIMITED-TRACK",39.18478,-129.74744,NA,""
"9115","9/15/2016 14:08","0-2572479","UNLIMITED-TRACK",39.18523,-129.74786,NA,""
"9131","9/15/2016 13:50","0-2573727","UNLIMITED-TRACK",39.1857,-129.7486,NA,""
"9136","9/15/2016 13:42","0-2572479","UNLIMITED-TRACK",39.18579,-129.74884,NA,""
"9155","9/15/2016 13:20","0-2573727","UNLIMITED-TRACK",39.18575,-129.74968,NA,""
"9168","9/15/2016 13:09","0-2572479","UNLIMITED-TRACK",39.18563,-129.75008,NA,""
"9183","9/15/2016 12:50","0-2573727","UNLIMITED-TRACK",39.18536,-129.75076,NA,""
"9192","9/15/2016 12:39","0-2572479","UNLIMITED-TRACK",39.18509,-129.75105,NA,""
"9206","9/15/2016 12:21","0-2573727","UNLIMITED-TRACK",39.1846,-129.75108,NA,""
"9213","9/15/2016 12:12","0-2572479","UNLIMITED-TRACK",39.18437,-129.75105,NA,""
"9233","9/15/2016 11:50","0-2573727","UNLIMITED-TRACK",39.18341,-129.75072,NA,""
