"","dateTime","spotID","readingType","lat","long"
"881","8/31/2016 19:18","0-2573529","UNLIMITED-TRACK",41.89747,-125.31944
"883","8/31/2016 19:03","0-2571969","UNLIMITED-TRACK",41.89577,-125.32027
"888","8/31/2016 18:49","0-2573529","UNLIMITED-TRACK",41.89405,-125.32098
"890","8/31/2016 18:34","0-2571969","UNLIMITED-TRACK",41.89262,-125.32162
"895","8/31/2016 18:18","0-2573529","UNLIMITED-TRACK",41.89118,-125.32219
"897","8/31/2016 18:03","0-2571969","UNLIMITED-TRACK",41.88981,-125.32246
"903","8/31/2016 17:49","0-2573529","UNLIMITED-TRACK",41.88858,-125.32262
"905","8/31/2016 17:33","0-2571969","UNLIMITED-TRACK",41.88742,-125.32259
"911","8/31/2016 17:18","0-2573529","UNLIMITED-TRACK",41.88655,-125.32251
"913","8/31/2016 17:02","0-2571969","UNLIMITED-TRACK",41.88584,-125.32243
"919","8/31/2016 16:49","0-2573529","UNLIMITED-TRACK",41.88532,-125.32225
"920","8/31/2016 16:34","0-2571969","UNLIMITED-TRACK",41.88483,-125.32236
"925","8/31/2016 16:19","0-2573529","UNLIMITED-TRACK",41.88455,-125.32278
"926","8/31/2016 16:02","0-2571969","UNLIMITED-TRACK",41.88435,-125.32315
"931","8/31/2016 15:50","0-2573529","UNLIMITED-TRACK",41.88429,-125.32336
"932","8/31/2016 15:32","0-2571969","UNLIMITED-TRACK",41.88413,-125.3237
"937","8/31/2016 15:20","0-2573529","UNLIMITED-TRACK",41.88392,-125.32411
"938","8/31/2016 15:05","0-2571969","UNLIMITED-TRACK",41.88368,-125.32416
"943","8/31/2016 14:50","0-2573529","UNLIMITED-TRACK",41.88355,-125.32428
"945","8/31/2016 14:33","0-2571969","UNLIMITED-TRACK",41.88358,-125.32428
"950","8/31/2016 14:20","0-2573529","UNLIMITED-TRACK",41.88358,-125.32448
"952","8/31/2016 14:04","0-2571969","UNLIMITED-TRACK",41.88361,-125.325
"957","8/31/2016 13:50","0-2573529","UNLIMITED-TRACK",41.88334,-125.32565
"960","8/31/2016 13:33","0-2571969","UNLIMITED-TRACK",41.88309,-125.32655
"965","8/31/2016 13:20","0-2573529","UNLIMITED-TRACK",41.88295,-125.32729
"968","8/31/2016 13:04","0-2571969","UNLIMITED-TRACK",41.88268,-125.32866
"972","8/31/2016 12:51","0-2573529","UNLIMITED-TRACK",41.88256,-125.32986
"974","8/31/2016 12:34","0-2571969","UNLIMITED-TRACK",41.88221,-125.3316
"978","8/31/2016 12:20","0-2573529","UNLIMITED-TRACK",41.88168,-125.33318
"980","8/31/2016 12:03","0-2571969","UNLIMITED-TRACK",41.881,-125.33514
"984","8/31/2016 11:51","0-2573529","UNLIMITED-TRACK",41.88036,-125.33646
"986","8/31/2016 11:36","0-2571969","UNLIMITED-TRACK",41.87963,-125.33821
"991","8/31/2016 11:21","0-2573529","UNLIMITED-TRACK",41.8788,-125.34023
"993","8/31/2016 11:04","0-2571969","UNLIMITED-TRACK",41.87754,-125.34213
"999","8/31/2016 10:51","0-2573529","UNLIMITED-TRACK",41.87665,-125.34343
"1001","8/31/2016 10:35","0-2571969","UNLIMITED-TRACK",41.87541,-125.34534
"1008","8/31/2016 10:21","0-2573529","UNLIMITED-TRACK",41.87432,-125.34708
